Norm_5-1,Best_5-1
1168.00,1168
1168.00,1168
1168.00,1168
1168.00,1168
1168.00,1168
1168.00,1168
1168.18,1168.06
1168.00,1168
1168.18,1168.24
1168.00,1168
1168.12,1168.09
1168.00,1168
1232.50,1233.94
1168.15,1168.03
1248.38,1243.29
1168.39,1168.33
1212.40,1214.05
1168.18,1168.21
1250.26,1242.04
1210.78,1198.87
1261.66,1267.01
1271.25,1248.34
1246.03,1236.61
1192.42,1183.36
1209.49,1212.78
1168.00,1168
1233.23,1258.27
1168.03,1168.09
1201.78,1204.39
1168.00,1168
1234.12,1233.54
1209.31,1223.92
1263.95,1252.46
1247.71,1248.19
1230.43,1228.88
1197.04,1197.26
1230.05,1244.03
1200.28,1193.23
1242.49,1232.53
1197.43,1187.26
1210.09,1212.52
1195.93,1191.07
1262.11,1233.71
1230.30,1217.44
1225.80,1235.08
1211.92,1211.15
1218.69,1227.85
1199.78,1206.91
