nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,taux_neutre,resultat_min,resultat_moyen,resultat_max,iteration_min,iteration_moyen,iteration_max,freq_optimum_glob,freq_borne_inf
3,3,1000,189.76,1,1156,swap,nd,0.00154907,0.7268,1168,1168,1168,1,1.83,3,0,0
3,3,1000,189.76,1,1156,trans,nd,0.00143764,0.7745,1168,1168,1168,1,1.64,3,0,0
3,3,1000,189.76,1,1156,swap+trans,nd,0.0016448,0.7422,1168,1168,1168,1,1.84,3,0,0
3,3,1000,189.76,1,1156,swap,gifller,0.0014858,0.8445,1318,1318,1318,1,1.37,2,0,0
3,3,1000,189.76,1,1156,trans,gifller,0.00125806,0.9091,1318,1318,1318,1,1.34,2,0,0
3,3,1000,189.76,1,1156,swap+trans,gifller,0.00138933,0.9048,1318,1318,1318,1,1.33,2,0,0
3,3,1000,189.76,1,1156,swap,fast,-nan,1,1318,1318,1318,1,1,1,0,0
3,3,1000,189.76,1,1156,trans,fast,-nan,1,1318,1318,1318,1,1,1,0,0
3,3,1000,189.76,1,1156,swap+trans,fast,-nan,1,1318,1318,1318,1,1,1,0,0
3,3,1000,189.76,1,1156,swap,FIFO-simple,0.00273154,0.3456,1168,1225.16,1339,1,3.42,8,0,0
3,3,1000,189.76,1,1156,trans,FIFO-simple,0.00207857,0.4455,1168,1251.03,1489,1,3.11,8,0,0
3,3,1000,189.76,1,1156,swap+trans,FIFO-simple,0.00295158,0.3714,1168,1219.84,1324,1,4.04,8,0,0
3,3,1000,189.76,1,1156,swap,best,0.00156088,0.6933,1168,1168,1168,1,1.95,4,0,0
3,3,1000,189.76,1,1156,trans,best,0.00140534,0.7483,1168,1168,1168,1,2.12,4,0,0
3,3,1000,189.76,1,1156,swap+trans,best,0.00163549,0.7389,1168,1168,1168,1,1.8,4,0,0
3,3,1000,188.806,1,1162,swap,nd,0.00162858,0.7187,1170,1170,1170,1,1.76,3,0,0
3,3,1000,188.806,1,1162,trans,nd,0.00140217,0.7743,1170,1170,1170,1,1.79,3,0,0
3,3,1000,188.806,1,1162,swap+trans,nd,0.00139194,0.7727,1170,1170,1170,1,2.04,3,0,0
3,3,1000,188.806,1,1162,swap,gifller,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,trans,gifller,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,swap+trans,gifller,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,swap,fast,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,trans,fast,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,swap+trans,fast,-nan,1,1659,1659,1659,1,1,1,0,0
3,3,1000,188.806,1,1162,swap,FIFO-simple,0.00257816,0.3489,1170,1236.59,1333,1,3.15,7,0,0
3,3,1000,188.806,1,1162,trans,FIFO-simple,0.00230166,0.4596,1170,1266.88,1496,1,3.01,7,0,0
3,3,1000,188.806,1,1162,swap+trans,FIFO-simple,0.00219215,0.4141,1170,1226.69,1333,1,3.29,8,0,0
3,3,1000,188.806,1,1162,swap,best,0.00167189,0.7193,1170,1170,1170,1,1.84,3,0,0
3,3,1000,188.806,1,1162,trans,best,0.00142136,0.7724,1170,1170,1170,1,1.92,3,0,0
3,3,1000,188.806,1,1162,swap+trans,best,0.00154307,0.7665,1170,1170,1170,1,1.78,3,0,0
5,5,1000,259.183,1,1235,swap,nd,0.00126359,0.7285,1245,1256.56,1271,1,4.36,11,0,0
5,5,1000,259.183,1,1235,trans,nd,0.00116205,0.7946,1245,1259.04,1281,1,3.89,9,0,0
5,5,1000,259.183,1,1235,swap+trans,nd,0.00146125,0.8056,1245,1258.4,1271,1,4.17,8,0,0
5,5,1000,259.183,1,1235,swap,gifller,0.00130048,0.773,1310,1323.01,1543,1,3.99,11,0,0
5,5,1000,259.183,1,1235,trans,gifller,0.00114692,0.848,1310,1334.14,1552,1,3.32,7,0,0
5,5,1000,259.183,1,1235,swap+trans,gifller,0.0011698,0.8222,1310,1326.21,1516,1,4.08,9,0,0
5,5,1000,259.183,1,1235,swap,fast,0.00111759,0.9395,1324,1324,1324,1,1.57,2,0,0
5,5,1000,259.183,1,1235,trans,fast,0.00104543,0.9706,1324,1324,1324,1,1.49,2,0,0
5,5,1000,259.183,1,1235,swap+trans,fast,0.0010651,0.9729,1324,1324,1324,1,1.45,2,0,0
5,5,1000,259.183,1,1235,swap,FIFO-simple,0.00157669,0.4837,1254,1303.96,1507,3,9.64,25,0,0
5,5,1000,259.183,1,1235,trans,FIFO-simple,0.00124493,0.6355,1260,1338.8,1627,2,8.18,16,0,0
5,5,1000,259.183,1,1235,swap+trans,FIFO-simple,0.00138212,0.5639,1245,1297.09,1548,3,9.91,23,0,0
5,5,1000,259.183,1,1235,swap,best,0.00154222,0.7228,1245,1258.04,1270,1,4.04,10,0,0
5,5,1000,259.183,1,1235,trans,best,0.00118856,0.7991,1245,1259.67,1282,1,3.63,8,0,0
5,5,1000,259.183,1,1235,swap+trans,best,0.00157023,0.7798,1245,1258.37,1271,1,3.84,8,0,0
